,shooterPlayerId,shooterName,xG
907,8475786.0,Zach Hyman,54.81716485522668
77,8479318.0,Auston Matthews,46.24166112068642
770,8477933.0,Sam Reinhart,41.476760968462656
160,8475184.0,Chris Kreider,41.238367571492304
572,8479314.0,Matthew Tkachuk,41.14297077807727
345,8477404.0,Jake Guentzel,40.52558569739739
412,8475166.0,John Tavares,39.42578727550259
102,8480801.0,Brady Tkachuk,39.37473242744103
213,8477956.0,David Pastrnak,38.337902731687024
877,8476389.0,Vincent Trocheck,37.98156801709433
274,8476887.0,Filip Forsberg,36.36369184040264
621,8477492.0,Nathan MacKinnon,36.27679347156966
605,8478420.0,Mikko Rantanen,34.997431326980404
400,8478493.0,Joel Eriksson Ek,34.570469226185345
114,8478010.0,Brayden Point,34.05553582474272
132,8478444.0,Brock Boeser,33.517017605167915
486,8475151.0,Kyle Palmieri,33.33701708588259
188,8478402.0,Connor McDavid,33.24298631329986
49,8475314.0,Anders Lee,32.69915884311841
153,8477409.0,Carter Verhaeghe,32.547507657555336
650,8476453.0,Nikita Kucherov,32.51720454091011
799,8471675.0,Sidney Crosby,31.969886067943143
895,8482740.0,Wyatt Johnston,31.841354039885047
72,8478550.0,Artemi Panarin,31.43470847561309
894,8477939.0,William Nylander,31.130792025089626
623,8475172.0,Nazem Kadri,31.081517792001407
790,8482093.0,Seth Jarvis,31.080997047649948
477,8478864.0,Kirill Kaprizov,31.026621364703516
268,8475169.0,Evander Kane,30.283124498756717
317,8476468.0,J.T. Miller,29.598408520745075
738,8478449.0,Roope Hintz,28.923526321553947
840,8479675.0,Trevor Moore,28.712182323377522
251,8480012.0,Elias Pettersson,28.553196185193684
396,8470794.0,Joe Pavelski,28.255023188903795
866,8477501.0,Valeri Nichushkin,28.20780400096003
808,8474564.0,Steven Stamkos,27.882833056355672
135,8475754.0,Brock Nelson,27.803678081648698
424,8476539.0,Jonathan Marchessault,27.709883228982402
859,8475726.0,Tyler Toffoli,27.661225081301453
98,8473419.0,Brad Marchand,27.597548401265875
693,8477402.0,Pavel Buchnevich,27.17838592081026
89,8477500.0,Bo Horvat,26.973508114341012
170,8481540.0,Cole Caufield,26.937042313756418
492,8477934.0,Leon Draisaitl,26.935369986570457
788,8478427.0,Sebastian Aho,26.76714546523665
46,8482109.0,Alexis Lafreniere,26.538618740346507
30,8471214.0,Alex Ovechkin,26.351894217213523
483,8478398.0,Kyle Connor,25.8618430266253
558,8481557.0,Matt Boldy,25.848681293009648
387,8479407.0,Jesper Bratt,25.79469549385027
754,8475158.0,Ryan O'Reilly,25.761237250499523
107,8479542.0,Brandon Hagel,25.70846226857851
886,8477998.0,Warren Foegele,25.623920970410367
136,8475810.0,Bryan Rust,25.565056789364125
343,8478498.0,Jake DeBrusk,25.410598359465297
852,8477479.0,Tyler Bertuzzi,25.33876478374431
753,8476454.0,Ryan Nugent-Hopkins,25.302094214810616
786,8477497.0,Sean Monahan,25.294103809905344
19,8477493.0,Aleksander Barkov,25.255139367376753
360,8473994.0,Jamie Benn,25.163186370841558
642,8480002.0,Nico Hischier,25.144580701561804
430,8479385.0,Jordan Kyrou,24.79060956175848
826,8476880.0,Tom Wilson,24.760522538359037
374,8480027.0,Jason Robertson,24.647306216942862
836,8478439.0,Travis Konecny,24.456666550602637
242,8477946.0,Dylan Larkin,24.33371434247182
684,8480015.0,Owen Tippett,24.09419978884803
540,8476460.0,Mark Scheifele,24.089951862368917
279,8478366.0,Frank Vatrano,24.05031712222012
321,8478403.0,Jack Eichel,23.892870281215036
560,8475168.0,Matt Duchene,23.841433906342697
468,8477942.0,Kevin Fiala,23.66561985548099
763,8477935.0,Sam Bennett,23.663814996856075
22,8479337.0,Alex DeBrincat,23.6146530593324
322,8481559.0,Jack Hughes,23.576250610679043
33,8477949.0,Alex Tuch,23.573630243943473
713,8482124.0,Quinton Byfield,23.571425107827597
858,8475794.0,Tyler Seguin,23.562720960246246
85,8476399.0,Blake Coleman,23.407699145810547
16,8477960.0,Adrian Kempe,23.383045987679772
245,8478440.0,Dylan Strome,23.357626219749537
739,8479525.0,Ross Colton,23.315160578668994
544,8480039.0,Martin Necas,23.081841274350243
158,8475745.0,Charlie Coyle,23.07259402596472
596,8476459.0,Mika Zibanejad,22.992262035012896
552,8478445.0,Mathew Barzal,22.760915871428928
272,8480188.0,Fabian Zetterlund,22.691443071187592
269,8471215.0,Evgeni Malkin,22.35318766259756
427,8474586.0,Jordan Eberle,22.223930858358862
233,8480208.0,Drake Batherson,22.125260185544253
182,8476925.0,Colton Sissons,22.035187533992914
696,8478401.0,Pavel Zacha,22.032604169457127
823,8478414.0,Timo Meier,22.02132108244537
167,8479343.0,Clayton Keller,21.91107532418345
115,8475170.0,Brayden Schenn,21.88751686875693
192,8478856.0,Conor Garland,21.853991815460702
811,8479420.0,Tage Thompson,21.819315837689903
