,shooterPlayerId,shooterName,xG2
907,8475786.0,Zach Hyman,52.06278
77,8479318.0,Auston Matthews,48.731075
213,8477956.0,David Pastrnak,41.95028
770,8477933.0,Sam Reinhart,41.100117
345,8477404.0,Jake Guentzel,41.026203
621,8477492.0,Nathan MacKinnon,39.714104
160,8475184.0,Chris Kreider,39.54466
412,8475166.0,John Tavares,39.242653
572,8479314.0,Matthew Tkachuk,38.83357
877,8476389.0,Vincent Trocheck,37.87293
605,8478420.0,Mikko Rantanen,37.483116
102,8480801.0,Brady Tkachuk,36.625294
274,8476887.0,Filip Forsberg,35.924274
114,8478010.0,Brayden Point,35.036873
132,8478444.0,Brock Boeser,34.26831
188,8478402.0,Connor McDavid,33.671143
650,8476453.0,Nikita Kucherov,33.500637
799,8471675.0,Sidney Crosby,33.19244
72,8478550.0,Artemi Panarin,32.890205
400,8478493.0,Joel Eriksson Ek,32.344627
894,8477939.0,William Nylander,32.219315
477,8478864.0,Kirill Kaprizov,32.124817
895,8482740.0,Wyatt Johnston,32.03331
486,8475151.0,Kyle Palmieri,31.859741
153,8477409.0,Carter Verhaeghe,31.836407
808,8474564.0,Steven Stamkos,30.796762
317,8476468.0,J.T. Miller,30.58432
623,8475172.0,Nazem Kadri,30.576548
49,8475314.0,Anders Lee,30.320456
790,8482093.0,Seth Jarvis,29.96846
268,8475169.0,Evander Kane,29.63469
424,8476539.0,Jonathan Marchessault,29.426382
738,8478449.0,Roope Hintz,29.28544
107,8479542.0,Brandon Hagel,28.600294
840,8479675.0,Trevor Moore,28.550682
693,8477402.0,Pavel Buchnevich,28.47215
98,8473419.0,Brad Marchand,28.455715
251,8480012.0,Elias Pettersson,28.453922
866,8477501.0,Valeri Nichushkin,28.356918
396,8470794.0,Joe Pavelski,28.252464
859,8475726.0,Tyler Toffoli,28.077143
46,8482109.0,Alexis Lafreniere,28.025951
492,8477934.0,Leon Draisaitl,28.017752
387,8479407.0,Jesper Bratt,27.924278
135,8475754.0,Brock Nelson,27.917137
343,8478498.0,Jake DeBrusk,27.780249
788,8478427.0,Sebastian Aho,27.52962
89,8477500.0,Bo Horvat,27.1818
170,8481540.0,Cole Caufield,27.033735
483,8478398.0,Kyle Connor,26.883816
558,8481557.0,Matt Boldy,26.859762
321,8478403.0,Jack Eichel,26.70058
754,8475158.0,Ryan O'Reilly,26.327549
136,8475810.0,Bryan Rust,26.199305
786,8477497.0,Sean Monahan,26.135542
19,8477493.0,Aleksander Barkov,25.749817
836,8478439.0,Travis Konecny,25.64403
